filename,class_id,x_center,y_center,width,height,class_label
15_jpg.rf.64410c3d17303c0f6a0377dd9a8b6beb.txt,1,0.634375,0.08046875,0.096875,0.1609375,car
15_jpg.rf.64410c3d17303c0f6a0377dd9a8b6beb.txt,17,0.440625,0.1109375,0.125,0.175,truck
4005568700900-01_N95-2592x1944_scaledTo640x480bilinear_png_jpg.rf.cf1a51c2ed8564b47aa5cae821a551e7.txt,0,0.509375,0.4125,0.471875,0.290625,barcode
Image_014465_jpg.rf.6ded269894e1fd793f8a24f4b83cd60c.txt,18,0.5,0.453125,0.96875,0.90625,van
ppe_0681_jpg.rf.4cee9412ce3e1fd4cfba83f9fa8b630d.txt,10,0.0984375,0.325,0.196875,0.65,person
ppe_0681_jpg.rf.4cee9412ce3e1fd4cfba83f9fa8b630d.txt,7,0.0578125,0.05234375,0.115625,0.1046875,helmet
ppe_0681_jpg.rf.4cee9412ce3e1fd4cfba83f9fa8b630d.txt,7,0.540625,0.23359375,0.1,0.0703125,helmet
ppe_0681_jpg.rf.4cee9412ce3e1fd4cfba83f9fa8b630d.txt,13,0.52578125,0.32421875,0.1421875,0.1546875,safety vest
ppe_0681_jpg.rf.4cee9412ce3e1fd4cfba83f9fa8b630d.txt,10,0.51875,0.353125,0.2,0.34375,person
ppe_0681_jpg.rf.4cee9412ce3e1fd4cfba83f9fa8b630d.txt,10,0.08828125,0.73828125,0.1765625,0.1765625,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.40390625,0.1,0.2109375,0.1875,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,10,0.3859375,0.33671875,0.365625,0.6640625,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,13,0.60234375,0.3703125,0.0671875,0.1625,safety vest
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,13,0.6796875,0.3078125,0.078125,0.1,safety vest
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,13,0.7765625,0.3203125,0.1,0.13125,safety vest
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,10,0.60546875,0.4390625,0.0734375,0.440625,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,10,0.68984375,0.40625,0.1296875,0.43125,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,10,0.7875,0.4046875,0.13125,0.440625,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.59921875,0.2421875,0.0578125,0.053125,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.678125,0.209375,0.046875,0.040625,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.77890625,0.21171875,0.0453125,0.0390625,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,10,0.2015625,0.91796875,0.215625,0.1640625,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,10,0.4875,0.928125,0.1625,0.14375,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.0296875,0.9140625,0.059375,0.05625,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.48828125,0.871875,0.0671875,0.046875,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.18515625,0.85859375,0.0828125,0.0359375,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.440625,0.90625,0.0625,0.0375,helmet
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,10,0.440625,0.94296875,0.065625,0.1140625,person
ppe_0434_jpg.rf.003e2cae0758c8a377a96922601a2fc9.txt,7,0.784375,0.834375,0.43125,0.33125,helmet
4_z8126b7d060d92d74599e0618_f101fe32fb4e41aad_d20161222_m164911_c001_v0001036_t0005_png_jpg.rf.56809d382a028a414c2ede819c6a6990.txt,15,0.57578125,0.421875,0.2421875,0.5125,traffic cone
29_jpg.rf.034a95c378180dda3b09a3c6a0ec25f5.txt,2,0.490625,0.49453125,0.953125,0.9453125,cardboard box
0202-6-_jpg.rf.f9fe031031489c711c8f4624545793f4.txt,3,0.7046875,0.49375,0.575,0.9875,fire
0202-6-_jpg.rf.f9fe031031489c711c8f4624545793f4.txt,3,0.115625,0.66015625,0.23125,0.6796875,fire
0202-6-_jpg.rf.f9fe031031489c711c8f4624545793f4.txt,3,0.34453125,0.94140625,0.1296875,0.1171875,fire
traffic-light-415-_jpg.rf.3335c1b99ddeac7459364fdcda61a3b7.txt,16,0.56171875,0.90703125,0.0265625,0.0765625,traffic light
traffic-light-415-_jpg.rf.3335c1b99ddeac7459364fdcda61a3b7.txt,10,0.66640625,0.4578125,0.0578125,0.1125,person
traffic-light-415-_jpg.rf.3335c1b99ddeac7459364fdcda61a3b7.txt,10,0.7375,0.44609375,0.08125,0.1453125,person
traffic-light-415-_jpg.rf.3335c1b99ddeac7459364fdcda61a3b7.txt,12,0.93984375,0.734375,0.0734375,0.084375,road sign
traffic-light-415-_jpg.rf.3335c1b99ddeac7459364fdcda61a3b7.txt,12,0.94296875,0.6171875,0.0546875,0.0375,road sign
traffic-light-415-_jpg.rf.3335c1b99ddeac7459364fdcda61a3b7.txt,12,0.96328125,0.66328125,0.0671875,0.0421875,road sign
image_490_jpg.rf.817c69be8a1432555d6d620d273f6673.txt,3,0.228125,0.5,0.1375,0.384375,fire
image_490_jpg.rf.817c69be8a1432555d6d620d273f6673.txt,3,0.50234375,0.5421875,0.0828125,0.221875,fire
image_490_jpg.rf.817c69be8a1432555d6d620d273f6673.txt,3,0.5890625,0.49921875,0.096875,0.2046875,fire
image_490_jpg.rf.817c69be8a1432555d6d620d273f6673.txt,3,0.3703125,0.6125,0.165625,0.1375,fire
wq126_jpg.rf.12b12b72eb86879a3ffb39523e8c1d89.txt,6,0.32265625,0.64375,0.4296875,0.296875,gloves
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.75390625,0.50078125,0.0796875,0.0671875,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.66796875,0.51171875,0.1109375,0.0796875,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.559375,0.53828125,0.11875,0.0921875,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.43984375,0.57578125,0.1609375,0.1015625,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.28125,0.6078125,0.146875,0.090625,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.15390625,0.615625,0.1359375,0.103125,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.05859375,0.63359375,0.1109375,0.1015625,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.05390625,0.1140625,0.1046875,0.14375,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.13515625,0.071875,0.1234375,0.134375,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.259375,0.0640625,0.140625,0.121875,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.40859375,0.059375,0.1390625,0.1125,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.70703125,0.0921875,0.1234375,0.103125,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.63359375,0.046875,0.0859375,0.084375,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.52890625,0.0484375,0.1359375,0.08125,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.81484375,0.4765625,0.0421875,0.040625,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.85859375,0.4625,0.0421875,0.040625,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.915625,0.44140625,0.053125,0.0359375,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.95234375,0.43203125,0.0203125,0.0265625,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.97109375,0.428125,0.0203125,0.025,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.89453125,0.15859375,0.0671875,0.0421875,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.93359375,0.17265625,0.0328125,0.0328125,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.93671875,0.184375,0.0609375,0.03125,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.96875,0.1953125,0.01875,0.028125,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.9859375,0.20546875,0.0125,0.0296875,wood pallet
1579165149-096621_jpg.rf.e74716c40126d8e09fe85b40f5a741f3.txt,19,0.9875,0.4171875,0.015625,0.034375,wood pallet
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.1765625,0.2734375,0.228125,0.209375,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.1609375,0.48046875,0.240625,0.2328125,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.146875,0.71328125,0.2375,0.2421875,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.3953125,0.27578125,0.228125,0.2109375,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.6140625,0.284375,0.215625,0.221875,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.83046875,0.28203125,0.2328125,0.2109375,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.38515625,0.50078125,0.2421875,0.2484375,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.61015625,0.50859375,0.2265625,0.2296875,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.84296875,0.4953125,0.2421875,0.225,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.37890625,0.73828125,0.2390625,0.2296875,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.6171875,0.7390625,0.240625,0.234375,cardboard box
net-9091-_jpg.rf.8ab577d19de243022a65f2ebe9cece25.txt,2,0.8515625,0.72265625,0.25625,0.2359375,cardboard box
traffic-light-920-_jpg.rf.14f0dd856081978ba34fce412b554d7b.txt,16,0.4625,0.68515625,0.315625,0.5984375,traffic light
IMAG0468_jpg.rf.51458ac79b6627faef901cb157e95430.txt,0,0.29296875,0.28671875,0.5765625,0.5296875,barcode
fire_0837_jpg.rf.4974381deda923b0aa971358cc302ded.txt,3,0.7625,0.7578125,0.0875,0.146875,fire
fire_0837_jpg.rf.4974381deda923b0aa971358cc302ded.txt,3,0.859375,0.88515625,0.078125,0.0421875,fire
fire_0837_jpg.rf.4974381deda923b0aa971358cc302ded.txt,3,0.03203125,0.58828125,0.0515625,0.0609375,fire
fire_0837_jpg.rf.4974381deda923b0aa971358cc302ded.txt,3,0.759375,0.8765625,0.121875,0.071875,fire
